index,title,link,company,location,conditions,summary,relevance_score
1,資料工程師,https://www.1111.com.tw/job/132035939,10 / 27資料工程師居家先生股份有限公司,新北市,"新北市新莊區 | 月薪 40,000元~60,000元 | 大學以上 | 2 年以上經驗",10 / 27 ｜ 1 ~ 5 人應徵,2
2,資料工程師,https://www.1111.com.tw/job/132096607,10 / 28資料工程師上洋產業股份有限公司,新北市,"新北市五股區 | 月薪 50,000元以上 | 專科、大學 | 2 年以上經驗",10 / 28 ｜ 1 ~ 5 人應徵,2
3,資料工程師(Data Engineer),https://www.1111.com.tw/job/132162725,)開元食品工業股份有限公司,台北市,台北市內湖區 | 面議（經常性薪資達4萬元或以上） | 高中職、專科、大學、碩士 | 3 年以上經驗,10 / 27 ｜ 1 ~ 5 人應徵,4
4,資料工程師(士林),https://www.1111.com.tw/job/132136754,ec_英業達股份有限公司,台北市,台北市士林區 | 面議（經常性薪資達4萬元或以上） | 大學以上 | 1 年以上經驗,10 / 29 ｜ 1 ~ 5 人應徵,3
5,資料工程師(資訊部),https://www.1111.com.tw/job/130273796,10 / 28資料工程師(資訊部)三立電視台(三立電視股份有限公司,台北市,台北市內湖區 | 面議（經常性薪資達4萬元或以上） | 專科、大學、碩士 | 1 年以上經驗,10 / 28 ｜ 1 ~ 5 人應徵,2
6,AI資料工程師(桃園),https://www.1111.com.tw/job/132017020,ec_英業達股份有限公司,桃園市,桃園市桃園區 | 面議（經常性薪資達4萬元或以上） | 大學、碩士 | 2 年以上經驗,10 / 29 ｜ 1 ~ 5 人應徵,1
7,數據ETL/資料工程師,https://www.1111.com.tw/job/132142003,10 / 27數據ETL/資料工程師昇恒昌股份有限公司,台北市,"台北市內湖區 | 月薪 40,000元以上 | 大學以上 | 2 年以上經驗",10 / 27 ｜ 1 ~ 5 人應徵,4
8,IT資料工程師(Data Engineer),https://www.1111.com.tw/job/112941919,)GARMIN 台灣國際航電股份有限公司,新北市,新北市汐止區 | 面議（經常性薪資達4萬元或以上） | 大學、碩士 | 1 年以上經驗,10 / 28 ｜ 1 ~ 5 人應徵,12
9,D4000 JAVA資料工程師【台北】,https://www.1111.com.tw/job/113019428,10 / 27D4000 JAVA資料工程師 【台北】富邦媒體科技股份有限公司,台北市,台北市內湖區 | 面議（經常性薪資達4萬元或以上） | 大學以上 | 1 年以上經驗,10 / 27 ｜ 1 ~ 5 人應徵,7
10,科技金融_資料工程師,https://www.1111.com.tw/job/131932046,10 / 20科技金融_資料工程師中國信託商業銀行股份有限公司,台北市,台北市南港區 | 面議（經常性薪資達4萬元或以上） | 碩士以上 | 3 年以上經驗,10 / 20 ｜ 1 ~ 5 人應徵,3
11,資料平臺工程師（資料開發 &資料庫設計方向）,https://www.1111.com.tw/job/132106768,10 / 26資料平臺工程師（資料開發 & 資料庫設計方向）洛芙瀾科技有限公司,新北市,"新北市板橋區 | 月薪 75,000元以上 | 大學以上 | 3 年以上經驗",10 / 26 ｜ 1 ~ 5 人應徵,2
12,資料庫助理工程師,https://www.1111.com.tw/job/112976317,10 / 27資料庫助理工程師合富資訊股份有限公司,台北市,"台北市內湖區 | 月薪 30,000元以上 | 專科以上 | 經驗不拘",10 / 27 ｜ 1 ~ 5 人應徵,2
13,資料文件處理工程師,https://www.1111.com.tw/job/85888230,10 / 28資料文件處理工程師韋僑科技股份有限公司,台中市,"台中市大里區 | 月薪 29,500元~31,000元 | 專科以上 | 經驗不拘",10 / 28 ｜ 1 ~ 5 人應徵,1
